name,ratings,prices,aminities,location,description
Melton Tiran Resort,5.0,,,"El Montazah Area, Ras Nosrani, Sharm El Sheikh 99999 Egypt",Every thing is amazing clean and people there are very friendly food very tasty location incredible im really  enjoyed there everything the beach is a magical I’ll coming back every time I get chance as soon as much 
Genena City Resort,3.0,,",Bar / lounge,Restaurant,Children Activities (Kid / Family Friendly),Laundry service","Haloomy Street, Sharm El Sheikh 46628 Egypt",الفندق ممتاز ونضيف جدًا جدًا جدًا والغرف كلها سويت وممتازة جدًا ومساحتها كبيره والفيو بتاعها رائع علي الجبال وخليج نعمه وحمام السباحة، الحدائق ممتازة وفي اهتمام بيها كبير جدًا والأكل كويس جدًا في هاوس كيبينج كل يوم لان الاهتمام بالنضافه هناك عالي جدا  حمام السباحه جميل ونضيف بإختصار هو مكان مناسب جدًا وجميل جدًا  العيب الوحيد هو عدم تشغيل السلالم الكهربائيه للعملاء والفندق عالي وفيه سلالم كتير
Le Mirage,3.0,,",Free High Speed Internet (WiFi),Pool,Bar / lounge,Beach,Airport transportation,Concierge,Non-smoking hotel,Laundry service,Wifi,Restaurant,Breakfast buffet,Air conditioning,Room service,Refrigerator,Non-smoking rooms","Naama Bay, Sharm El Sheikh 45214 Egypt","Finding an ideal budget friendly hotel in Sharm El Sheikh does not have to be difficult. Welcome to Le Mirage New Tiran, a nice option for travellers like you.New Tiran Hotel is a budget friendly hotel offering a refrigerator and air conditioning in the rooms, and it is easy to stay connected during your stay as free wifi is offered to guests.The hotel features a concierge and room service. Plus, guests can enjoy a pool and a lounge, which have made this a popular choice among travellers visiting Sharm El Sheikh.Close to some of Sharm El Sheikh's most popular landmarks, such as The Heavenly Cathedral (1.5 mi) and Ghibli Raceway (1.5 mi), New Tiran Hotel is a great destination for tourists.While in Sharm El Sheikh be sure to experience local fish and chips favourites at The Blue Fountain.Le Mirage New Tiran puts the best of Sharm El Sheikh at your fingertips, making your stay both relaxing and enjoyable."
Fantazia Hotel,3.0,,",Pool,Bar / lounge,Restaurant,Beach","Naama Bay, Sharm El Sheikh Egypt","If you’re looking for a hotel in Sharm El Sheikh, look no further than Paradise Inn Group for Hotels & Resorts.For those interested in checking out popular landmarks while visiting Sharm El Sheikh, Paradise Inn Group for Hotels & Resorts is located a short distance from Ghibli Raceway (0.7 mi) and The Heavenly Cathedral (2.3 mi).Paradise Inn Group for Hotels & Resorts is a hotel offering air conditioning in the rooms.Plus, guests can enjoy a pool and a lounge, which have made this a popular choice among travellers visiting Sharm El Sheikh.While staying in Sharm El Sheikh, you can check out a popular Chinese restaurant like Peking, which is serving up some great dishes.If you are looking for something to do in the area, Hollywood Sharm El Sheikh (1.0 mi) is a popular attraction that is within walking distance of Paradise Inn Group for Hotels & Resorts.The staff at Paradise Inn Group for Hotels & Resorts looks forward to serving you during your upcoming visit."
Partner Sunset,2.0,,",Pool,Bar / lounge,Restaurant,Babysitting,Children Activities (Kid / Family Friendly),Non-smoking hotel,Laundry service,Air conditioning,Room service,Minibar,Refrigerator,Non-smoking rooms","Om El Seid Cliff, Sharm El Sheikh Egypt","Finding an ideal luxury hotel in Sharm El Sheikh does not have to be difficult. Welcome to Partner Sunset, a nice option for travellers like you.Nearby landmarks such as Al Mustafa Mosque (1.8 mi) and The Heavenly Cathedral (1.9 mi) make Hotel Partner Sunset a great place to stay when visiting Sharm El Sheikh.Hotel Partner Sunset offers guests an array of room amenities including air conditioning, a minibar, and a refrigerator.The hotel offers room service, to make your visit even more pleasant. The property also features a pool and an on-site restaurant.While visiting Sharm El Sheikh, you may want to try some crab at one of the nearby restaurants, such as Fares Seafood, Fares Seafood - IL Mercato, or La Rose Restaurant Oriental & Seafood.Partner Sunset looks forward to welcoming you on your visit to Sharm El Sheikh."
Dreams Beach Resort Sharm El Sheikh,4.0,"EGP 2,356",",Free internet,Pool,Fitness Centre with Gym / Workout Room,Bar / lounge,Beach,Tennis court,Babysitting,Children Activities (Kid / Family Friendly),Paid internet,Internet,Adult pool,Outdoor pool,Restaurant,Breakfast buffet,Poolside bar,Entertainment staff,Evening entertainment,Table tennis,Nightclub / DJ,Kids club,Shuttle bus service,Business Centre with Internet Access,Conference facilities,Banquet room,Meeting rooms,Spa,Concierge,Shops,Sun umbrellas,Dry cleaning,Laundry service,Air conditioning,Private beach,Private balcony,Room service,Safe,Flatscreen TV,Ocean view,Non-smoking rooms,Suites,Family rooms","Um El Sid Cliff, Sharm El Sheikh Egypt","Dreams Beach Resort is an excellent choice for travellers visiting Sharm El Sheikh, offering a family-friendly environment alongside many helpful amenities designed to enhance your stay.Close to some of Sharm El Sheikh's most popular landmarks, such as The Heavenly Cathedral (1.7 mi) and Al Mustafa Mosque (1.8 mi), Dreams Beach Egypt is a great destination for tourists.Guest rooms offer amenities such as a flat screen TV and air conditioning, and guests can go online with free internet access offered by the resort.Dreams Beach Resort features a concierge and room service, to help make your stay more enjoyable. The property also boasts a pool and a poolside bar.While visiting Sharm El Sheikh, you may want to try some shrimp at one of the nearby restaurants, such as Fares Seafood, Little Buddha, or Fares Seafood - IL Mercato.Enjoy your stay in Sharm El Sheikh!"
Sharm Reef Hotel,4.5,,",Pool,Bar / lounge,Restaurant,Safe,Complimentary toiletries","Om El Seid Hill Hadaba Area, Sharm El Sheikh Egypt","My wife and I have just been on Sharm Reef Hotel 14 days and can only recomend the hotel in all way! OK the rooms need to get renovated but they are clean. Food is good, different every day, ALL staff are very friendly and helpfull. For sure we will come there again. Thanks to all the staff for making our 14 days stay very nice 🥰👍I will say the hotel are more clean and have better food that we ever have got on hotels with 5*😍We already miss to be there😍"
Baron Resort Sharm El Sheikh,4.5,,",Free parking,Free High Speed Internet (WiFi),Pool,Fitness Centre with Gym / Workout Room,Free breakfast,Beach,Diving,Children Activities (Kid / Family Friendly),Bar / lounge,Restaurant,Breakfast buffet,Tennis court,Entertainment staff,Kids club,Airport transportation,Shuttle bus service,Meeting rooms,Spa,24-hour security,Concierge,Sun umbrellas,Dry cleaning,Laundry service,Blackout curtains,Air conditioning,Additional bathroom,Safe,Refrigerator,Non-smoking rooms,Suites","Ras Nasrany, Sharm El Sheikh Egypt","An amazing hotel, nice people, tasty food, fine sea, fantastic nature, really. My holidays were very nice! The hotel is suitable for both young and older people. The animation team is also friendly and every evening you can watch shows. All in all, everything is great!"
Naama Tropitel,5.0,,",Free parking,Free High Speed Internet (WiFi),Pool,Fitness Centre with Gym / Workout Room,Restaurant,Diving,Evening entertainment,Babysitting,Outdoor pool,Pets Allowed ( Dog / Pet Friendly ),Spa,Massage,24-hour front desk,Family rooms","Halumy Street, Sharm El Sheikh 46619 Egypt","See why so many travellers make Naama Tropitel their inn of choice when visiting Sharm El Sheikh. Providing an ideal mix of value, comfort and convenience, it offers an array of amenities designed for travellers like you.Given the close proximity of popular landmarks, such as The Heavenly Cathedral (1.3 mi) and Ghibli Raceway (1.7 mi), guests of Naama Tropitel can easily experience some of Sharm El Sheikh's most well known attractions.24 hour front desk is one of the conveniences offered at this inn. In addition, Naama Tropitel offers a pool and an on-site restaurant, which will help make your Sharm El Sheikh trip additionally gratifying. If you are driving to Naama Tropitel, free parking is available.While in Sharm El Sheikh, you may want to check out some of the restaurants that are a short walk away from Naama Tropitel, including Hard Rock Cafe Sharm El Sheikh (0.3 mi), Camel Bar & Roof (0.3 mi), and Little Buddha (0.2 mi).At Naama Tropitel, your comfort and satisfaction come first, and they look forward to welcoming you to Sharm El Sheikh."
Fun&Sun Smart Seti Sharm,4.5,,",Bar / lounge,Restaurant,Beach","Sharm El Maya Рядом с мечетью в Шарм-аль-Шейх, Sharm El Sheikh Egypt",
